activity_id,case_id,fir_number,activity_type,description,performed_by_officer_id,timestamp
ACT-006382,CASE-000182,FIR/2025/PS-MUM-002/00182,ASSIGNED,Case assigned to Primary IO Ravi Singh (BADGE-BAN-1007).,OFFICER-00007,2026-03-14T08:53:35.159275
ACT-006383,CASE-000183,FIR/2025/PS-PUN-001/00183,INTERROGATION,Suspect Vikram Shah brought in for questioning.,OFFICER-00035,2026-04-22T21:53:35.159382
ACT-006384,CASE-000184,FIR/2025/PS-DEL-001/00184,REGISTERED,FIR filed and case registered at Connaught Place Police Station.,OFFICER-00004,2025-05-26T18:53:35.159449
ACT-006385,CASE-000185,FIR/2024/PS-DEL-002/00185,INTERROGATION,Suspect Bhaskar Deshmukh brought in for questioning.,OFFICER-00041,2025-04-23T03:53:35.159508
ACT-006386,CASE-000186,FIR/2025/PS-BLR-001/00186,STATUS_CHANGED,Case status updated to REGISTERED.,OFFICER-00014,2026-01-16T02:53:35.159561
ACT-006387,CASE-000187,FIR/2024/PS-BLR-002/00187,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00047,2025-04-29T11:53:35.159664
ACT-006388,CASE-000188,FIR/2025/PS-CHE-001/00188,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00030,2025-05-11T20:53:35.159746
ACT-006389,CASE-000189,FIR/2024/PS-CHE-002/00189,INTERROGATION,Suspect Aditya Bhowmick brought in for questioning.,OFFICER-00042,2026-01-07T01:53:35.159786
ACT-006390,CASE-000190,FIR/2026/PS-LKO-001/00190,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00003,2026-02-09T11:53:35.159818
ACT-006391,CASE-000191,FIR/2026/PS-MUM-001/00191,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00039,2026-07-19T12:53:35.159846
ACT-006392,CASE-000192,FIR/2025/PS-MUM-002/00192,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00013,2025-08-01T01:53:35.159874
ACT-006393,CASE-000193,FIR/2024/PS-PUN-001/00193,STATUS_CHANGED,Case status updated to CHARGE_SHEET_FILED.,OFFICER-00035,2025-08-24T08:53:35.159903
ACT-006394,CASE-000194,FIR/2026/PS-DEL-001/00194,WITNESS_ADDED,Witness Krutika Bansal added to case record.,OFFICER-00025,2025-11-24T18:53:35.159946
ACT-006395,CASE-000195,FIR/2025/PS-DEL-002/00195,REGISTERED,FIR filed and case registered at Hauz Khas Police Station.,OFFICER-00011,2025-12-12T05:53:35.159976
ACT-006396,CASE-000196,FIR/2025/PS-BLR-001/00196,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00004,2025-08-30T14:53:35.160003
ACT-006397,CASE-000197,FIR/2026/PS-BLR-002/00197,WITNESS_ADDED,Witness Suman Chauhan added to case record.,OFFICER-00037,2025-11-03T09:53:35.160029
ACT-006398,CASE-000198,FIR/2026/PS-CHE-001/00198,INVESTIGATION_UPDATED,Case notes updated following site visit.,OFFICER-00013,2025-04-20T13:53:35.160061
ACT-006399,CASE-000199,FIR/2026/PS-CHE-002/00199,CLOSED,Case investigation concluded and case closed.,OFFICER-00013,2026-01-02T21:53:35.160088
ACT-006400,CASE-000200,FIR/2024/PS-LKO-001/00200,CLOSED,Case investigation concluded and case closed.,OFFICER-00045,2025-12-01T23:53:35.160117
ACT-006401,CASE-000001,FIR/2026/PS-MUM-001/00001,INTERROGATION,Suspect Asha Mehta brought in for questioning.,OFFICER-00026,2025-06-18T08:53:35.150719
ACT-006402,CASE-000002,FIR/2026/PS-MUM-002/00002,WITNESS_ADDED,Witness Rohan Nair added to case record.,OFFICER-00011,2026-07-24T20:53:35.150816
ACT-006403,CASE-000003,FIR/2025/PS-PUN-001/00003,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00014,2026-08-13T01:53:35.150882
ACT-006404,CASE-000004,FIR/2024/PS-DEL-001/00004,CLOSED,Case investigation concluded and case closed.,OFFICER-00040,2025-07-01T12:53:35.150934
ACT-006405,CASE-000005,FIR/2026/PS-DEL-002/00005,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00041,2025-06-07T04:53:35.150994
ACT-006406,CASE-000006,FIR/2026/PS-BLR-001/00006,REGISTERED,FIR filed and case registered at Koramangala Police Station.,OFFICER-00013,2026-08-01T03:53:35.151044
ACT-006407,CASE-000007,FIR/2024/PS-BLR-002/00007,REGISTERED,FIR filed and case registered at Indiranagar Police Station.,OFFICER-00028,2025-08-28T06:53:35.151090
ACT-006408,CASE-000008,FIR/2025/PS-CHE-001/00008,CLOSED,Case investigation concluded and case closed.,OFFICER-00003,2026-02-21T08:53:35.151135
ACT-006409,CASE-000009,FIR/2025/PS-CHE-002/00009,INTERROGATION,Suspect Alok Gowda brought in for questioning.,OFFICER-00023,2025-05-17T10:53:35.151179
ACT-006410,CASE-000010,FIR/2025/PS-LKO-001/00010,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00011,2026-04-17T19:53:35.151230
ACT-006411,CASE-000011,FIR/2025/PS-MUM-001/00011,ASSIGNED,Case assigned to Primary IO Indu Singh (BADGE-BAN-1046).,OFFICER-00046,2026-04-24T21:53:35.151282
ACT-006412,CASE-000012,FIR/2024/PS-MUM-002/00012,ASSIGNED,Case assigned to Primary IO Deepa Saxena (BADGE-CHE-1039).,OFFICER-00039,2025-06-03T21:53:35.151326
ACT-006413,CASE-000013,FIR/2026/PS-PUN-001/00013,STATUS_CHANGED,Case status updated to CLOSED_UNSOLVED.,OFFICER-00023,2025-07-17T00:53:35.151371
ACT-006414,CASE-000014,FIR/2024/PS-DEL-001/00014,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00001,2026-06-21T02:53:35.151414
ACT-006415,CASE-000015,FIR/2024/PS-DEL-002/00015,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00036,2025-06-11T05:53:35.151457
ACT-006416,CASE-000016,FIR/2026/PS-BLR-001/00016,INTERROGATION,Suspect Aditya Shukla brought in for questioning.,OFFICER-00015,2025-08-18T23:53:35.151502
ACT-006417,CASE-000017,FIR/2026/PS-BLR-002/00017,ASSIGNED,Case assigned to Primary IO Rekha Mishra (BADGE-CHE-1018).,OFFICER-00018,2025-11-06T18:53:35.151545
ACT-006418,CASE-000018,FIR/2025/PS-CHE-001/00018,CLOSED,Case investigation concluded and case closed.,OFFICER-00026,2026-08-06T18:53:35.151598
ACT-006419,CASE-000019,FIR/2025/PS-CHE-002/00019,ASSIGNED,Case assigned to Primary IO Aarti Malik (BADGE-CHE-1048).,OFFICER-00048,2026-03-10T16:53:35.151661
ACT-006420,CASE-000020,FIR/2024/PS-LKO-001/00020,INVESTIGATION_UPDATED,Case notes updated following site visit.,OFFICER-00026,2026-02-25T08:53:35.151744
ACT-006421,CASE-000021,FIR/2024/PS-MUM-001/00021,ASSIGNED,Case assigned to Primary IO Vandana Chauhan (BADGE-BAN-1026).,OFFICER-00026,2026-01-05T22:53:35.151802
ACT-006422,CASE-000022,FIR/2024/PS-MUM-002/00022,ASSIGNED,Case assigned to Primary IO Yashoda Das (BADGE-PUN-1023).,OFFICER-00023,2026-05-23T19:53:35.151990
ACT-006423,CASE-000023,FIR/2024/PS-PUN-001/00023,INVESTIGATION_UPDATED,Case notes updated following site visit.,OFFICER-00015,2026-01-26T14:53:35.152053
ACT-006424,CASE-000024,FIR/2024/PS-DEL-001/00024,REGISTERED,FIR filed and case registered at Connaught Place Police Station.,OFFICER-00036,2025-06-27T05:53:35.152104
ACT-006425,CASE-000025,FIR/2024/PS-DEL-002/00025,WITNESS_ADDED,Witness Vidya Chauhan added to case record.,OFFICER-00048,2026-02-02T05:53:35.152159
ACT-006426,CASE-000026,FIR/2024/PS-BLR-001/00026,ASSIGNED,Case assigned to Primary IO Savita Kulkarni (BADGE-LUC-1010).,OFFICER-00010,2026-03-27T02:53:35.152222
ACT-006427,CASE-000027,FIR/2025/PS-BLR-002/00027,REGISTERED,FIR filed and case registered at Indiranagar Police Station.,OFFICER-00037,2026-01-25T04:53:35.152605
ACT-006428,CASE-000028,FIR/2026/PS-CHE-001/00028,CLOSED,Case investigation concluded and case closed.,OFFICER-00010,2026-07-29T20:53:35.152665
ACT-006429,CASE-000029,FIR/2024/PS-CHE-002/00029,INVESTIGATION_UPDATED,Case notes updated following site visit.,OFFICER-00018,2025-10-06T19:53:35.152724
ACT-006430,CASE-000030,FIR/2025/PS-LKO-001/00030,INTERROGATION,Suspect Renu Yadav brought in for questioning.,OFFICER-00028,2025-04-24T16:53:35.152773
ACT-006431,CASE-000031,FIR/2025/PS-MUM-001/00031,INVESTIGATION_UPDATED,Case notes updated following site visit.,OFFICER-00025,2026-08-16T23:53:35.152828
ACT-006432,CASE-000032,FIR/2025/PS-MUM-002/00032,REGISTERED,FIR filed and case registered at Bandra Police Station.,OFFICER-00008,2025-09-23T11:53:35.152878
ACT-006433,CASE-000033,FIR/2025/PS-PUN-001/00033,CLOSED,Case investigation concluded and case closed.,OFFICER-00025,2025-10-12T16:53:35.152928
ACT-006434,CASE-000034,FIR/2024/PS-DEL-001/00034,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00040,2025-10-14T01:53:35.152979
ACT-006435,CASE-000035,FIR/2026/PS-DEL-002/00035,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00050,2025-04-24T12:53:35.153037
ACT-006436,CASE-000036,FIR/2024/PS-BLR-001/00036,ASSIGNED,Case assigned to Primary IO Suresh Mukherjee (BADGE-SOU-1035).,OFFICER-00035,2026-01-29T12:53:35.153086
ACT-006437,CASE-000037,FIR/2025/PS-BLR-002/00037,CLOSED,Case investigation concluded and case closed.,OFFICER-00004,2026-05-29T07:53:35.153135
ACT-006438,CASE-000038,FIR/2025/PS-CHE-001/00038,INVESTIGATION_UPDATED,Case notes updated following site visit.,OFFICER-00033,2026-08-15T08:53:35.153183
ACT-006439,CASE-000039,FIR/2025/PS-CHE-002/00039,CLOSED,Case investigation concluded and case closed.,OFFICER-00002,2026-01-19T13:53:35.153237
ACT-006440,CASE-000040,FIR/2026/PS-LKO-001/00040,REGISTERED,FIR filed and case registered at Hazratganj Police Station.,OFFICER-00024,2026-01-22T07:53:35.153284
ACT-006441,CASE-000041,FIR/2026/PS-MUM-001/00041,CLOSED,Case investigation concluded and case closed.,OFFICER-00009,2026-04-30T06:53:35.153331
ACT-006442,CASE-000042,FIR/2026/PS-MUM-002/00042,ASSIGNED,Case assigned to Primary IO Ramesh Reddy (BADGE-BAN-1016).,OFFICER-00016,2025-10-26T08:53:35.153376
ACT-006443,CASE-000043,FIR/2026/PS-PUN-001/00043,INVESTIGATION_UPDATED,Case notes updated following site visit.,OFFICER-00002,2025-09-19T06:53:35.153497
ACT-006444,CASE-000044,FIR/2026/PS-DEL-001/00044,INTERROGATION,Suspect Renu Dubey brought in for questioning.,OFFICER-00039,2025-04-21T16:53:35.153551
ACT-006445,CASE-000045,FIR/2026/PS-DEL-002/00045,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00008,2025-11-12T10:53:35.153586
ACT-006446,CASE-000046,FIR/2025/PS-BLR-001/00046,INTERROGATION,Suspect Hitesh Pandey brought in for questioning.,OFFICER-00036,2026-07-14T12:53:35.153621
ACT-006447,CASE-000047,FIR/2024/PS-BLR-002/00047,STATUS_CHANGED,Case status updated to CLOSED_SOLVED.,OFFICER-00039,2025-08-11T17:53:35.153676
ACT-006448,CASE-000048,FIR/2025/PS-CHE-001/00048,REGISTERED,FIR filed and case registered at T. Nagar Police Station.,OFFICER-00041,2026-06-13T11:53:35.153732
ACT-006449,CASE-000049,FIR/2026/PS-CHE-002/00049,WITNESS_ADDED,Witness Savita Sharma added to case record.,OFFICER-00024,2025-08-20T15:53:35.153764
ACT-006450,CASE-000050,FIR/2025/PS-LKO-001/00050,INTERROGATION,Suspect Yashoda Banerjee brought in for questioning.,OFFICER-00018,2025-05-21T02:53:35.153793
ACT-006451,CASE-000051,FIR/2026/PS-MUM-001/00051,INVESTIGATION_UPDATED,Case notes updated following site visit.,OFFICER-00032,2025-08-29T02:53:35.153821
ACT-006452,CASE-000052,FIR/2026/PS-MUM-002/00052,REGISTERED,FIR filed and case registered at Bandra Police Station.,OFFICER-00018,2025-06-08T14:53:35.153848
ACT-006453,CASE-000053,FIR/2026/PS-PUN-001/00053,INTERROGATION,Suspect Renu Dubey brought in for questioning.,OFFICER-00025,2026-08-18T19:53:35.153876
ACT-006454,CASE-000054,FIR/2026/PS-DEL-001/00054,WITNESS_ADDED,Witness Yogesh Naidu added to case record.,OFFICER-00010,2026-08-17T15:53:35.153904
ACT-006455,CASE-000055,FIR/2025/PS-DEL-002/00055,INTERROGATION,Suspect Renu Rao brought in for questioning.,OFFICER-00035,2026-05-07T14:53:35.153930
ACT-006456,CASE-000056,FIR/2026/PS-BLR-001/00056,REGISTERED,FIR filed and case registered at Koramangala Police Station.,OFFICER-00047,2025-09-19T07:53:35.153956
ACT-006457,CASE-000057,FIR/2024/PS-BLR-002/00057,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00047,2025-11-30T03:53:35.153988
ACT-006458,CASE-000058,FIR/2026/PS-CHE-001/00058,STATUS_CHANGED,Case status updated to CHARGE_SHEET_FILED.,OFFICER-00017,2025-12-02T05:53:35.154017
ACT-006459,CASE-000059,FIR/2026/PS-CHE-002/00059,INTERROGATION,Suspect Aditya Deshmukh brought in for questioning.,OFFICER-00016,2026-07-27T22:53:35.154045
ACT-006460,CASE-000060,FIR/2024/PS-LKO-001/00060,INVESTIGATION_UPDATED,Case notes updated following site visit.,OFFICER-00008,2026-02-12T04:53:35.154070
ACT-006461,CASE-000061,FIR/2024/PS-MUM-001/00061,WITNESS_ADDED,Witness Meena Das added to case record.,OFFICER-00047,2026-05-01T04:53:35.154115
ACT-006462,CASE-000062,FIR/2025/PS-MUM-002/00062,REGISTERED,FIR filed and case registered at Bandra Police Station.,OFFICER-00010,2025-08-08T17:53:35.154143
ACT-006463,CASE-000063,FIR/2024/PS-PUN-001/00063,REGISTERED,FIR filed and case registered at Shivajinagar Police Station.,OFFICER-00029,2025-06-30T02:53:35.154185
ACT-006464,CASE-000064,FIR/2024/PS-DEL-001/00064,ASSIGNED,Case assigned to Primary IO Vivek Nair (BADGE-CEN-1034).,OFFICER-00034,2025-06-17T00:53:35.154231
ACT-006465,CASE-000065,FIR/2024/PS-DEL-002/00065,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00013,2025-07-19T15:53:35.154260
ACT-006466,CASE-000066,FIR/2024/PS-BLR-001/00066,CLOSED,Case investigation concluded and case closed.,OFFICER-00030,2026-07-20T18:53:35.154300
ACT-006467,CASE-000067,FIR/2025/PS-BLR-002/00067,ASSIGNED,Case assigned to Primary IO Rajesh Dubey (BADGE-LUC-1020).,OFFICER-00020,2026-08-08T14:53:35.154333
ACT-006468,CASE-000068,FIR/2025/PS-CHE-001/00068,STATUS_CHANGED,Case status updated to CLOSED_SOLVED.,OFFICER-00039,2026-05-24T02:53:35.154362
ACT-006469,CASE-000069,FIR/2026/PS-CHE-002/00069,CLOSED,Case investigation concluded and case closed.,OFFICER-00027,2025-11-03T06:53:35.154388
ACT-006470,CASE-000070,FIR/2026/PS-LKO-001/00070,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00025,2025-07-13T13:53:35.154413
ACT-006471,CASE-000071,FIR/2025/PS-MUM-001/00071,STATUS_CHANGED,Case status updated to UNDER_INVESTIGATION.,OFFICER-00037,2025-12-14T19:53:35.154441
ACT-006472,CASE-000072,FIR/2025/PS-MUM-002/00072,INTERROGATION,Suspect Nikhil Naidu brought in for questioning.,OFFICER-00040,2025-11-09T02:53:35.154467
ACT-006473,CASE-000073,FIR/2026/PS-PUN-001/00073,ASSIGNED,Case assigned to Primary IO Vidya Dubey (BADGE-CHE-1029).,OFFICER-00029,2025-08-15T07:53:35.154492
ACT-006474,CASE-000074,FIR/2025/PS-DEL-001/00074,CLOSED,Case investigation concluded and case closed.,OFFICER-00036,2025-11-29T04:53:35.154520
ACT-006475,CASE-000075,FIR/2025/PS-DEL-002/00075,REGISTERED,FIR filed and case registered at Hauz Khas Police Station.,OFFICER-00050,2025-06-29T14:53:35.154550
ACT-006476,CASE-000076,FIR/2024/PS-BLR-001/00076,WITNESS_ADDED,Witness Amit Gowda added to case record.,OFFICER-00032,2025-05-02T01:53:35.154574
ACT-006477,CASE-000077,FIR/2026/PS-BLR-002/00077,INVESTIGATION_UPDATED,Case notes updated following site visit.,OFFICER-00003,2025-07-18T08:53:35.154598
ACT-006478,CASE-000078,FIR/2026/PS-CHE-001/00078,STATUS_CHANGED,Case status updated to REGISTERED.,OFFICER-00048,2026-04-15T05:53:35.154631
ACT-006479,CASE-000079,FIR/2024/PS-CHE-002/00079,REGISTERED,FIR filed and case registered at Mylapore Police Station.,OFFICER-00017,2025-10-29T11:53:35.154658
ACT-006480,CASE-000080,FIR/2025/PS-LKO-001/00080,WITNESS_ADDED,Witness Rahul Gowda added to case record.,OFFICER-00038,2025-08-30T10:53:35.154682
ACT-006481,CASE-000081,FIR/2026/PS-MUM-001/00081,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00017,2025-11-05T20:53:35.154712
ACT-006482,CASE-000082,FIR/2025/PS-MUM-002/00082,REGISTERED,FIR filed and case registered at Bandra Police Station.,OFFICER-00039,2026-02-14T09:53:35.154761
ACT-006483,CASE-000083,FIR/2024/PS-PUN-001/00083,STATUS_CHANGED,Case status updated to UNDER_INVESTIGATION.,OFFICER-00048,2025-12-07T05:53:35.154789
ACT-006484,CASE-000084,FIR/2026/PS-DEL-001/00084,STATUS_CHANGED,Case status updated to COURT_PROCEEDINGS.,OFFICER-00029,2026-02-19T01:53:35.154827
ACT-006485,CASE-000085,FIR/2025/PS-DEL-002/00085,INTERROGATION,Suspect Ritu Mishra brought in for questioning.,OFFICER-00013,2025-08-08T08:53:35.154854
ACT-006486,CASE-000086,FIR/2026/PS-BLR-001/00086,WITNESS_ADDED,Witness Rahul Rao added to case record.,OFFICER-00028,2026-04-05T18:53:35.154880
ACT-006487,CASE-000087,FIR/2024/PS-BLR-002/00087,STATUS_CHANGED,Case status updated to UNDER_INVESTIGATION.,OFFICER-00008,2026-07-08T19:53:35.154904
ACT-006488,CASE-000088,FIR/2025/PS-CHE-001/00088,INTERROGATION,Suspect Kiran Agarwal brought in for questioning.,OFFICER-00023,2025-11-07T17:53:35.154968
ACT-006489,CASE-000089,FIR/2025/PS-CHE-002/00089,REGISTERED,FIR filed and case registered at Mylapore Police Station.,OFFICER-00010,2025-08-13T22:53:35.155013
ACT-006490,CASE-000090,FIR/2024/PS-LKO-001/00090,INVESTIGATION_UPDATED,Case notes updated following site visit.,OFFICER-00017,2025-10-27T05:53:35.155054
ACT-006491,CASE-000091,FIR/2025/PS-MUM-001/00091,ASSIGNED,Case assigned to Primary IO Sachin Bhatt (BADGE-CEN-1014).,OFFICER-00014,2025-11-06T03:53:35.155095
ACT-006492,CASE-000092,FIR/2024/PS-MUM-002/00092,STATUS_CHANGED,Case status updated to REGISTERED.,OFFICER-00024,2026-04-02T01:53:35.155135
ACT-006493,CASE-000093,FIR/2024/PS-PUN-001/00093,INTERROGATION,Suspect Mahesh Mukherjee brought in for questioning.,OFFICER-00021,2026-07-06T00:53:35.155177
ACT-006494,CASE-000094,FIR/2026/PS-DEL-001/00094,ASSIGNED,Case assigned to Primary IO Yogesh Mishra (BADGE-LUC-1030).,OFFICER-00030,2026-08-24T14:53:35.155226
ACT-006495,CASE-000095,FIR/2025/PS-DEL-002/00095,STATUS_CHANGED,Case status updated to UNDER_INVESTIGATION.,OFFICER-00049,2026-07-27T19:53:35.155271
ACT-006496,CASE-000096,FIR/2026/PS-BLR-001/00096,STATUS_CHANGED,Case status updated to UNDER_INVESTIGATION.,OFFICER-00004,2025-04-25T15:53:35.155320
ACT-006497,CASE-000097,FIR/2026/PS-BLR-002/00097,ASSIGNED,Case assigned to Primary IO Radha Patil (BADGE-MUM-1042).,OFFICER-00042,2026-06-18T20:53:35.155362
ACT-006498,CASE-000098,FIR/2025/PS-CHE-001/00098,STATUS_CHANGED,Case status updated to UNDER_INVESTIGATION.,OFFICER-00044,2026-08-06T08:53:35.155404
ACT-006499,CASE-000099,FIR/2024/PS-CHE-002/00099,INTERROGATION,Suspect Aditya Rao brought in for questioning.,OFFICER-00005,2025-04-30T20:53:35.155446
ACT-006500,CASE-000100,FIR/2026/PS-LKO-001/00100,INTERROGATION,Suspect Aarti Patel brought in for questioning.,OFFICER-00027,2025-07-23T07:53:35.155489
ACT-006501,CASE-000101,FIR/2025/PS-MUM-001/00101,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00042,2025-05-24T22:53:35.155532
ACT-006502,CASE-000102,FIR/2024/PS-MUM-002/00102,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00033,2026-07-03T18:53:35.155574
ACT-006503,CASE-000103,FIR/2024/PS-PUN-001/00103,STATUS_CHANGED,Case status updated to CHARGE_SHEET_FILED.,OFFICER-00003,2026-03-24T22:53:35.155621
ACT-006504,CASE-000104,FIR/2026/PS-DEL-001/00104,INVESTIGATION_UPDATED,Case notes updated following site visit.,OFFICER-00038,2026-07-11T02:53:35.155663
ACT-006505,CASE-000105,FIR/2025/PS-DEL-002/00105,STATUS_CHANGED,Case status updated to UNDER_INVESTIGATION.,OFFICER-00031,2025-11-05T18:53:35.155703
ACT-006506,CASE-000106,FIR/2026/PS-BLR-001/00106,REGISTERED,FIR filed and case registered at Koramangala Police Station.,OFFICER-00026,2025-09-23T05:53:35.155743
ACT-006507,CASE-000107,FIR/2024/PS-BLR-002/00107,INVESTIGATION_UPDATED,Case notes updated following site visit.,OFFICER-00028,2026-03-04T16:53:35.155816
ACT-006508,CASE-000108,FIR/2026/PS-CHE-001/00108,ASSIGNED,Case assigned to Primary IO Sanjay Bhatt (BADGE-MUM-1001).,OFFICER-00001,2026-04-13T11:53:35.155864
ACT-006509,CASE-000109,FIR/2026/PS-CHE-002/00109,REGISTERED,FIR filed and case registered at Mylapore Police Station.,OFFICER-00025,2025-10-14T06:53:35.155910
ACT-006510,CASE-000110,FIR/2026/PS-LKO-001/00110,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00043,2025-06-21T11:53:35.155954
ACT-006511,CASE-000111,FIR/2024/PS-MUM-001/00111,INVESTIGATION_UPDATED,Case notes updated following site visit.,OFFICER-00021,2026-08-05T18:53:35.155996
ACT-006512,CASE-000112,FIR/2024/PS-MUM-002/00112,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00033,2025-09-05T07:53:35.156041
ACT-006513,CASE-000113,FIR/2024/PS-PUN-001/00113,CLOSED,Case investigation concluded and case closed.,OFFICER-00018,2025-05-14T22:53:35.156083
ACT-006514,CASE-000114,FIR/2025/PS-DEL-001/00114,STATUS_CHANGED,Case status updated to UNDER_INVESTIGATION.,OFFICER-00017,2026-07-09T05:53:35.156139
ACT-006515,CASE-000115,FIR/2024/PS-DEL-002/00115,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00013,2025-11-22T00:53:35.156179
ACT-006516,CASE-000116,FIR/2026/PS-BLR-001/00116,REGISTERED,FIR filed and case registered at Koramangala Police Station.,OFFICER-00017,2025-09-09T02:53:35.156219
ACT-006517,CASE-000117,FIR/2024/PS-BLR-002/00117,REGISTERED,FIR filed and case registered at Indiranagar Police Station.,OFFICER-00032,2025-05-29T17:53:35.156259
ACT-006518,CASE-000118,FIR/2024/PS-CHE-001/00118,ASSIGNED,Case assigned to Primary IO Sunil Agarwal (BADGE-SOU-1045).,OFFICER-00045,2026-04-28T04:53:35.156299
ACT-006519,CASE-000119,FIR/2025/PS-CHE-002/00119,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00011,2025-05-18T20:53:35.156339
ACT-006520,CASE-000120,FIR/2024/PS-LKO-001/00120,INTERROGATION,Suspect Ritu Patel brought in for questioning.,OFFICER-00038,2025-06-03T23:53:35.156390
ACT-006521,CASE-000121,FIR/2026/PS-MUM-001/00121,INTERROGATION,Suspect Nisha Deshmukh brought in for questioning.,OFFICER-00050,2026-07-13T18:53:35.156456
ACT-006522,CASE-000122,FIR/2026/PS-MUM-002/00122,REGISTERED,FIR filed and case registered at Bandra Police Station.,OFFICER-00040,2026-07-13T10:53:35.156503
ACT-006523,CASE-000123,FIR/2024/PS-PUN-001/00123,WITNESS_ADDED,Witness Asha Chatterjee added to case record.,OFFICER-00002,2026-04-10T08:53:35.156548
ACT-006524,CASE-000124,FIR/2026/PS-DEL-001/00124,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00044,2026-07-26T13:53:35.156591
ACT-006525,CASE-000125,FIR/2025/PS-DEL-002/00125,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00017,2026-02-06T17:53:35.156632
ACT-006526,CASE-000126,FIR/2024/PS-BLR-001/00126,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00041,2026-06-03T11:53:35.156674
ACT-006527,CASE-000127,FIR/2024/PS-BLR-002/00127,WITNESS_ADDED,Witness Rahul Reddy added to case record.,OFFICER-00007,2026-05-07T05:53:35.156715
ACT-006528,CASE-000128,FIR/2024/PS-CHE-001/00128,STATUS_CHANGED,Case status updated to UNDER_INVESTIGATION.,OFFICER-00004,2026-03-05T15:53:35.156761
ACT-006529,CASE-000129,FIR/2026/PS-CHE-002/00129,CLOSED,Case investigation concluded and case closed.,OFFICER-00050,2026-07-25T03:53:35.156803
ACT-006530,CASE-000130,FIR/2025/PS-LKO-001/00130,STATUS_CHANGED,Case status updated to UNDER_INVESTIGATION.,OFFICER-00030,2025-07-07T03:53:35.156853
ACT-006531,CASE-000131,FIR/2025/PS-MUM-001/00131,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00009,2026-05-28T22:53:35.156901
ACT-006532,CASE-000132,FIR/2026/PS-MUM-002/00132,INTERROGATION,Suspect Vinod Chauhan brought in for questioning.,OFFICER-00047,2026-03-12T07:53:35.156947
ACT-006533,CASE-000133,FIR/2025/PS-PUN-001/00133,REGISTERED,FIR filed and case registered at Shivajinagar Police Station.,OFFICER-00049,2026-01-09T20:53:35.156991
ACT-006534,CASE-000134,FIR/2024/PS-DEL-001/00134,REGISTERED,FIR filed and case registered at Connaught Place Police Station.,OFFICER-00023,2025-10-30T13:53:35.157038
ACT-006535,CASE-000135,FIR/2025/PS-DEL-002/00135,WITNESS_ADDED,Witness Kiran Dubey added to case record.,OFFICER-00046,2025-11-27T02:53:35.157081
ACT-006536,CASE-000136,FIR/2025/PS-BLR-001/00136,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00034,2025-08-01T02:53:35.157122
ACT-006537,CASE-000137,FIR/2025/PS-BLR-002/00137,WITNESS_ADDED,Witness Swati Pillai added to case record.,OFFICER-00042,2025-12-31T06:53:35.157164
ACT-006538,CASE-000138,FIR/2026/PS-CHE-001/00138,STATUS_CHANGED,Case status updated to UNDER_INVESTIGATION.,OFFICER-00001,2025-12-11T01:53:35.157207
